alpha;CL;CD;Cm;;
-5;0.29925;0.1335656;0.094497;;
-4.5;0.343093;0.1301666;0.08844;;
-4;0.386907;0.1277336;0.082278;;
-3.5;0.430686;0.1264866;0.076075;;
-3;0.474421;0.1262276;0.069814;;
-2.5;0.518106;0.1267546;0.063448;;
-2;0.561731;0.1279186;0.056943;;
-1.5;0.605291;0.1296706;0.050307;;
-1;0.648778;0.1315626;0.043457;;
-0.5;0.692183;0.1335566;0.036376;;
0;0.7355;0.1356556;0.029061;;
0.5;0.778721;0.1379506;0.021534;;
1;0.821839;0.1404636;0.013809;;
1.5;0.864847;0.1431506;0.005874;;
2;0.907736;0.1460516;-0.002256;;
2.5;0.950501;0.1491656;-0.010581;;
3;0.993134;0.1524776;-0.019099;;
3.5;1.035627;0.1559886;-0.027812;;
4;1.077973;0.1597056;-0.036707;;
4.5;1.120166;0.1635686;-0.045795;;
5;1.162198;0.1676476;-0.055064;;
5.5;1.204063;0.1718866;-0.064514;;
6;1.245754;0.1761936;-0.074158;;
6.5;1.287264;0.1807406;-0.083978;;
7;1.328586;0.1854716;-0.093958;;
7.5;1.369713;0.1903646;-0.104108;;
8;1.41064;0.1953276;-0.114433;;
8.5;1.451359;0.2004506;-0.12493;;
9;1.491864;0.2056996;-0.13559;;
9.5;1.532149;0.2110276;-0.146411;;
10;1.572208;0.2164676;-0.157399;;
10.5;1.612035;0.2219476;-0.168553;;
11;1.651623;0.2275476;-0.179876;;
11.5;1.690967;0.2332846;-0.19135;;
12;1.73006;0.2324326;-0.202298;;
12.5;1.768898;0.2321786;-0.216935;;
13;1.807474;0.2356486;-0.229186;;
13.5;1.845783;0.2392826;-0.242006;;
14;1.88382;0.2462786;-0.254737;;
14.5;1.921579;0.2490906;-0.267578;;
15;1.959055;0.2567286;-0.280102;;
