omega,power
1137.1154824633268, 41.609907120743
1262.6936421834525, 49.53560371517017
1457.988737204308, 60.18575851393189
1771.9341365046234, 79.99999999999989
2002.1847178983007, 95.35603715170276
2574.4011429524157, 136.22291021671828
2978.990775316137, 160
3292.9433611884865, 180.06191950464395
3662.735611764131, 204.58204334365325
3844.153436187552, 216.96594427244582
4060.40457525922, 229.8452012383901
4492.799054822045, 251.8885448916409
4988.025733677138, 279.38080495356036
5497.244668282207, 309.1021671826625
6020.362433200813, 337.83281733746134
6508.582204322866, 363.8390092879257
6724.783037390297, 374.98452012383905
6954.875514199229, 384.8916408668731
6836.347381644345, 379.9380804953561
7143.120582054842, 392.5696594427245
7373.134006571401, 399.7523219814242
7610.111219388797, 406.93498452012386
7819.12548042234, 410.4024767801858
8181.458069226811, 417.83281733746134
8362.581244196848, 420.061919504644
8439.1541692179, 419.07120743034056
